,19941231,19951231,19961231,19971231,19981231,19991231,20001231,20011231,20021231,20031231,20041231,20051231,20061231,20071231,20081231,20091231,20101231,20111231,20121231,20131231,20141231,20151231,20161231
AAAP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AAL,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,6591.9923,37405.5593,26452.7578,23685.564
AAME,41.4315,#N/A N/A,57.2198,95.7167,93.21,48.6249,42.314,46.8262,34.8396,63.5956,64.8384,57.7348,63.585,30.5438,16.5704,28.5329,45.1818,41.9103,65.5591,86.3721,83.0182,101.9284,83.7024
AAOI,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,189.7864,166.3253,288.9572,403.175
AAON,71.4048,35.1497,29.8789,46.706,57.9144,89.2256,101.9331,212.057,240.1613,243.0132,198.4578,218.736,324.2645,357.8352,359.3183,335.5199,698.4367,504.4295,511.6854,1172.9278,1209.9966,1230.9471,1740.1304
AAPC,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,36.2824
AAPL,4645.7375,3924.3861,2881.0281,1704.2529,5312.4482,16686.6839,5136.4417,7905.6557,5065.2133,7662.8533,25895.1829,60791.4186,72981.0556,175576.4065,76406.504,189449.2273,298047.0797,377546.67,478490.4999,499850.6402,664153.5018,598970.9306,618034.7461
AAWW,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,921.0601,891.6902,917.1146,1173.1175,398.0688,957.3535,1448.0635,1010.8921,1171.9733,1030.3396,1223.0205,1018.4792,1304.6492
AAXJ,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ABAC,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,63.2813,12.7701,9.5149,30.4415,56.0053,29.8709,15.4972
ABAX,19.5656,68.831,47.416,31.3241,27.0436,108.3295,94.5195,93.2614,66.5616,350.8792,286.773,330.6979,399.938,775.4367,350.9769,563.3009,604.5278,600.107,817.0533,890.0669,1280.7209,1265.6621,1189.2775
ABCB,30.18,69.0982,99.5119,143.227,91.1525,92.6925,78.2531,133.4866,126.5344,157.5224,205.0251,256.974,418.4797,228.1487,162.8557,100.5615,249.2366,244.1633,297.2591,529.8278,686.4818,1094.865,1522.5763
ABCD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,150.9094,149.5444,52.2788,72.2322,75.4868,221.8187,230.5679
ABCO,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,336.555,440.6064,549.5536,655.8371,896.5045,997.6766,1159.045,351.5793,474.0039,754.2302,1232.927,1641.7603,1845.4722,1763.8678,2062.4129,1336.4166
ABDC,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,168.9596,156.7945,175.2434
ABEO,4.8819,3.8675,23.5433,17.935,7.7152,12.18,64.22,57.316,19.7375,70.195,54.9547,9.1727,9.898,11.6513,9.3723,43.3359,47.4052,34.403,5.9357,6.4323,68.8648,110.0165,202.2224
ABEOW,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ABIL,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,104.2928,105.3463,97.0635
ABIO,#N/A N/A,#N/A N/A,#N/A N/A,122.5648,67.8877,222.411,197.2538,149.0557,20.0979,269.0205,317.4557,358.0521,212.6071,97.7614,16.3904,24.8427,28.0055,12.183,1.0109,26.3517,20.3718,42.0882,25.6984
ABMD,37.2255,104.175,84.6567,140.0881,84.7996,319.8353,501.296,330.7329,76.4982,148.2789,340.2558,243.6849,377.3788,506.6985,602.3925,327.2917,363.7695,719.8307,522.5525,1063.3369,1563.4794,3831.2443,4902.4598
ABTL,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,276.9441,50.84,53.4215,87.3488,344.2396,253.1122,208.139,149.3304,120.4187,20.3489,45.1687,39.2926,32.2852,35.2445,134.8043,96.7961,239.7366,194.5905
ABTX,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,303.0271,468.4317
ABUS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22.2319,14.7127,47.5631,48.5919,18.223,70.9546,151.8197,339.9383,242.8396,188.6547
ABY,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2185.6,1933.1859,1939.204
ACAD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,114.5687,231.6511,263.1768,409.9818,33.4601,50.5984,47.2207,57.1306,341.0041,2276.6544,3176.5028,3634.1147,3500.2292
ACBI,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ACCP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
