,19941231,19951231,19961231,19971231,19981231,19991231,20001231,20011231,20021231,20031231,20041231,20051231,20061231,20071231,20081231,20091231,20101231,20111231,20121231,20131231,20141231,20151231,20161231
A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21025,10267,11000,11866,12204,16101,14525,13635,7767,8560,12041,12863,12453,16903,18519,12536,14117
AA,7740,9257,11016,11842,13662,30523,28995,30132,19245,33003,27366,25734,26041,30242,9012,15707,15729,9207,9263,11385,19211,12655,5137
AAC,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,661,435,412
AAN,164,233,242,361,302,356,277,313,479,656,1244,1055,1558,1031,1428,2256,1633,2018,2141,2145,2216,1626,2286
AAP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1538,1756,2731,2586,4702,3746,3781,3479,3642,4919,5069,5248,8007,9864,13879,12472
AAT,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,806,1108,1273,1740,1741,1970
AAV,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AB,1500,1877,2231,3364,4387,2160,3705,3618,2376,2629,3380,4640,6880,6543,1878,2845,2449,1374,1831,2047,2600,2386,2266
ABB,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ABBV,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,53882,83829,104141,95370,99723
ABC,#N/A N/A,732,1142,1390,1791,908,2655,6592,5811,6301,6225,8630,8517,7293,5467,7399,9339,9610,9928,16206,19776,21397,16966
ABEV,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ABG,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,279,581,449,541,826,546,146,374,606,675,1003,1653,2166,1673,1311
ABM,190,248,343,555,605,535,643,666,720,753,1011,970,1105,1342,947,971,1187,1078,1033,1526,1539,1593,2173
